"Timestamp","1) Full Name","2) Email Address","3) Stellar Wallet Address","4) Rate Your Experience (1 to 5)","5) Your Feedback / Suggestions"
"2026/04/05 10:03:48 PM GMT+5:30","Dev Patil","patilshritesh863@gmail.com","GAGBMRVUN2IBMXJUFNGRD7BHWYQACCGXDVV6X4GXTNXQC5DGCRMW2CQ3","5","Very very good website I like it very much"
"2026/04/05 10:10:40 PM GMT+5:30","Sai Dube","ptukaram66@gmail.com","GBJ75GZZKMAJLZNJJ3NPO2SUUDVD6UXEDNSJBZ435VFLMHYQHSNZ7TL3","5","Best website ever seen"
"2026/04/05 10:15:34 PM GMT+5:30","Prashant Tiwari","rsuru800@gmail.com","GAPBZNNYJFZVV2LWO6TN7DQYHA6JSKEHWAUIXBYMK4DX4GICFYEQ4LI5","5","I liked the website very much"
"2026/04/05 10:26:52 PM GMT+5:30","Manohar Pandurang Kalel","kalelmanohar97@gmail.com","GCBIXHAGMFGGPBZT44JREBV2JEBQ6MJNORB3IUUOGD527QPY5K2Z35GX","5","very Attractive Dashboard with good performance"
"2026/04/05 10:27:16 PM GMT+5:30","Harshal Jagdale","harshaljagdale40@gmail.com","GCATAASNFHODIKA4VTIEZHONZB3BGZJL42FXHHZ3VS6YKX2PCDIJ3LDY","5","Solid working 👍"
"2026/04/05 10:43:32 PM GMT+5:30","Yash Annadate","yashannadate2005@gmail.com","GB6B6QEJFY4HAKATRO6MI77WDZ66W4FFPJN6AYLISJEHTLXYFPHQFFTV","5","Overall best, focus on more enhancements"
"2026/04/05 10:48:08 PM GMT+5:30","Shravani H Adhav","shravaniadhav2@gmail.com","GDWFKQNLD3I5MTUFOBMDNVUDIQPPSLU63IADPDAFY4ND62RH3DHEPMVL","5","Excellent"
"2026/04/05 11:16:57 PM GMT+5:30","Rutuja Jagdale","jagdalerutuja28@gmail.com","GBJ75GZZKMAJLZNJJ3NPO2SUUDVD6UXEDNSJBZ435VFLMHYQHSNZ7TL3","3","Goodd"
"2026/04/06 8:48:45 AM GMT+5:30","Yuvraj Vibhute","yuvishine40@gmail.com","GARXEMFNMVPPXSTQYMXAU2KTLTTG4ZV7R5F56HHT7QGI6L3QAGHRTMBT","4","Great UI, smooth transaction experience"
"2026/04/06 11:35:44 AM GMT+5:30","Amey Shinde","amey020607@gmail.com","GDKCR47RJC5WA6L5IIFGZPK5GVLA4QNIVFFULAN4ICUU5NVHL2ABJYKQ","5","Nice experience"
"2026/04/08 9:13:03 AM GMT+5:30","Shubham Golekar","shubhamgolekar62021@gmail.com","GADY24FFOBCTVQJIBCP6OCX6QPVODAQM4IEMYUKS5VSVN564XQPSWXGY","5","Very good platform"
"2026/04/08 9:13:56 AM GMT+5:30","Rushikesh Gaiwal","rushikeshgaiwal66@gmail.com","GDWKI7ZGILRPYAN6LLKY3W6HHIWMFA5I54E2GNPISFRKMKBN5UPJ6234","5","Very good experience while exploring the website"
"2026/04/08 12:00:39 PM GMT+5:30","Runav Phate","phaterunav@gmail.com","GCHB2KGFMWFAM7HOQYUFNPQXAQMAY6U7OLXAP4BEJWIJWXBV6IDKB7DR","5","Loved the instant payout mechanism"
"2026/04/08 11:26:32 PM GMT+5:30","Vaibhav Sharma","vsharma4@gmail.com","GDWJCB72BRXUYCBMZPFDOSNMI7D2O6HYB4DAUEQLA4XO5A6DPJTHIBRV","4","Nice website can do much more. Good work"
"2026/04/08 11:28:21 PM GMT+5:30","Prithviraj Mhatre","prithvirajka567@gmail.com","GAKRD3ZTUS73SHXMKH5X7XBKW3SMZKHLTKZ3DOL6TXHTRLCK76ZRJEOR","5","I like your website. Can be helpful in future"
"2026/04/08 11:30:51 PM GMT+5:30","Vishwas Gidde","giddevishwas@gmail.com","GD52HMVC432E7KL4RM5SKJD2L24U6LUDAY7YORQZ3NU75BZVFR2EE6BX","4","Good work, add more wallet options"
"2026/04/08 11:33:03 PM GMT+5:30","Naman Yanmunde","namanyan456@gmail.com","GB26KB3B46SMTBKOA5VIAZTZT5VJUAE3ENKELTVDWWXK2DAXU2SXWZKR","5","I like your work. Go ahead make it even better"
"2026/04/08 11:34:11 PM GMT+5:30","Akhil Kumbhar","akhilkmbhar863@gmail.com","GAHFWPMCMOWI5JG5OL5QEAK6NZR7OICDQQZ5EMTHWS3D5SD6JU5UJC5J","5","Love your website"
"2026/04/08 11:36:53 PM GMT+5:30","Swasti Dhumal","swastidhumal8906@gmail.com","GBM6YPBJYBKTXWWHE6CU5OMXX4ZFHMURMV4YQZUR5MKNFWECYIHYQVAQ","5","Nice work"
"2026/04/09 2:44:52 PM GMT+5:30","Tanashri Patil","patiltanashri@yahoo.com","GBC3AF3U6KA3UOOXSL2CB27W3CEDSCRH5VO3U6HWM56H6LYC35BGS32F","5","Looks good but add more swap features"
"2026/04/09 2:46:53 PM GMT+5:30","Avinash Sutar","avinash.sutar@gmail.com","GDCXJCTJSXCE3PW62FPXWBSBRXJU4ZQBRSKFRQ6272P54A4IDB3AG3WN","4","I loved your website 👏🏻👏🏻"
"2026/04/09 2:48:31 PM GMT+5:30","Arun Amrute","arun.amrute@gmail.com","GDOGLWI75RDLONWOLQNMZY4TOSXE3GZM2WW2V7SDDRYWENNLRMRW3VE7","4","Good good"
"2026/04/09 2:50:37 PM GMT+5:30","Siddharth Gaikwad","gaikwadsiddharth45@gmail.com","GCEUIM5JT65THJO6TCRNH37VYPXNJQ7NQICETMV7235R4JARE3PTIZ27","5","Keep working. Website looks good"
"2026/04/10 7:54:22 PM GMT+5:30","Nandini Jadhav","nandinijadhavv06@gmail.com","GCT3E7HUMKYVC2MXFURGRQJF5PMS4V6ZFZQORNW75L2TZIWFF2HM5CMH","5","Liked your project"
"2026/04/10 7:55:29 PM GMT+5:30","Ved Malkunaik","vedmalkunaik@gmail.com","GACUAJJ5XYAOHFRNASQU472IEZHMU5G37CLNPGKA7HK55MEFZV6ZJQ45","4","Nice website"
"2026/04/10 7:56:47 PM GMT+5:30","Poorva Mulimani","poorvam2006@gmail.com","GBNOBRJ73DRVVHE4MJPDRIOVP3MZ7BHOO2ISZDMPJWDNHPCPVRZLRILT","5","Good"
"2026/04/10 7:57:26 PM GMT+5:30","Samruddhi Nevse","nevsesamruddhi@gmail.com","GDHOWWJM3ZU7XN7BF7IQFFXXFNN3Y2ZL7I4253F5KHTA5FFN57SFLMWZ","5","Go ahead make it more good"
"2026/04/10 7:58:55 PM GMT+5:30","Satish Khedkar","satishkhedkar575@gmail.com","GAYO3AHUNNQDP6RRZG4OAGBLY723JKAEDYQ247Q65XIFBVHDRGXXX4MV","5","Good project"
"2026/04/10 7:59:52 PM GMT+5:30","Mahesh Patil","patilmaheshpatil777@gmail.com","GCG4FCF4UB74JJXVWHFXIENK6DKGIXQZ3563RRMK2VH5EU4TBEM7YSG7","4","Good project make improvements"
"2026/04/10 8:00:19 PM GMT+5:30","Akanksha Shinde","akanksha789shinde@gmail.com","GCPQV7JCPIEQNXYRY54BCT3M7L24EM5XVJNSQAGXRFOKQJI7Z3E6LYLZ","5","Good"
"2026/04/10 8:03:01 PM GMT+5:30","Siddharth Gaikwad","gaikwadsiddharth45@gmail.com","GCEUIM5JT65THJO6TCRNH37VYPXNJQ7NQICETMV7235R4JARE3PTIZ27","4","Good work"
"2026/04/10 8:03:27 PM GMT+5:30","Jadhav Vaibhavi Ajay","vaibhavijadhav856@gmail.com","GDJ6VJX3OVJJLIF2J2JRBBDD6PYAZNLAMJIDOLJQSWTUCGDSKEBOEOFP","5","Nice work"
"2026/04/10 8:04:27 PM GMT+5:30","Janhavi Lipare","janhavilipare9948@gmail.com","GBLUMAX4IIPS54AIGD5WXRRAXISG4HLV3BE3YR3SQAD3GZSXRTVJY5GI","4","Good"
"2026/04/10 8:05:00 PM GMT+5:30","Meghiya Tulse","meghiyatulse24@gmail.com","GB2FK6UX2HC7U2LFML6OZFJLJGFUCX7S37EZDVA5MPM5O5D5NLH65SOV","5","Good going"
"2026/04/10 8:05:32 PM GMT+5:30","Soham Ghuge","sohamghuge63@gmail.com","GCZXHLXNKRQZ7FA3MV575L2OZ7UCYCMZCKKMBZN64MQ2XTD2TFCYHP2V","5","Very good work"
"2026/04/11 10:12:00 AM GMT+5:30","Aditya Kulkarni","aditya.kulkarni99@gmail.com","GAA7Z4K5P3J2R1T0V9M8N7B6V5C4X3Z2A1S0D9F8G7H6J5K4L3M2N1B0","5","Fast testnet transactions, amazing UI"
"2026/04/11 11:45:20 AM GMT+5:30","Pooja Deshmukh","pooja.deshmukh88@gmail.com","GBB1C2D3E4F5G6H7I8J9K0L1M2N3O4P5Q6R7S8T9U0V1W2X3Y4Z5A6B7","5","Freighter wallet integration works seamlessly"
"2026/04/11 02:15:10 PM GMT+5:30","Karan Sharma","karan.sharma.web3@gmail.com","GCC9B8A7F6E5D4C3B2A1Z0Y9X8W7V6U5T4S3R2Q1P0O9N8M7L6K5J4I3","5","The ticket sliding confirmation is super cool"
"2026/04/12 09:30:44 AM GMT+5:30","Sneha More","sneha.more2004@gmail.com","GDD1E2F3G4H5I6J7K8L9M0N1O2P3Q4R5S6T7U8V9W0X1Y2Z3A4B5C6D7","4","Great work on Soroban contract efficiency"
